127.0.0.1 -- [2021-11-14 00:30:45,950]:  GETT /index.html HTTP/1.1" 501 269 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:30:45,951]:  "GET /demo.pptx HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:30:45,960]:  "PUT /new8.html HTTP/1.1" 200 6 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:30:45,961]:  "DELETE /new7.html HTTP/1.1" 400 239 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:40:59,496]:  "GET / HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:40:59,497]:  "HEAD /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:40:59,497]:  "PUT /new8.html HTTP/1.1" 200 6 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:40:59,497]:  "PUT /new9.html HTTP/1.1" 200 261 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:40:59,498]:  GETT /index.html HTTP/1.1" 501 269 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:40:59,498]:  "GET /demo.pptx HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:40:59,508]:  "PUT /new8.html HTTP/1.1" 200 6 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:40:59,510]:  "DELETE /new7.html HTTP/1.1" 400 239 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:46:17,116]:  "GET / HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:46:17,117]:  "HEAD /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:46:17,117]:  "PUT /new8.html HTTP/1.1" 200 6 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:46:17,117]:  "PUT /new9.html HTTP/1.1" 200 261 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:46:17,118]:  GETT /index.html HTTP/1.1" 501 269 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 00:46:17,118]:  "GET /demo.pptx HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

